tolerance,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.01,0.5,0.42,0.15142648134601316,1.0,0.2630241423125794,2532,4640,0,828
0.01,0.6,0.449125,0.15816618911174785,1.0,0.2731321128154379,2765,4407,0,828
0.01,0.7,0.68075,0.24482554701360143,1.0,0.39334916864608077,4618,2554,0,828
0.01,0.8,0.8105,0.3532423208191126,1.0,0.5220680958385876,5656,1516,0,828
0.01,0.85,0.831375,0.3803399173174093,1.0,0.5510815307820299,5823,1349,0,828
0.01,0.9,0.858875,0.4230965763924374,1.0,0.5946140035906643,6043,1129,0,828
0.01,0.95,0.899375,0.7804878048780488,0.03864734299516908,0.07364787111622555,7163,9,796,32
0.03,0.5,0.65725,0.2319327731092437,1.0,0.3765347885402456,4430,2742,0,828
0.03,0.6,0.669,0.238204833141542,1.0,0.3847583643122676,4524,2648,0,828
0.03,0.7,0.67875,0.24367274867569158,1.0,0.391859914813062,4602,2570,0,828
0.03,0.8,0.808,0.350253807106599,1.0,0.518796992481203,5636,1536,0,828
0.03,0.85,0.828375,0.37619263970922306,1.0,0.5467150874876197,5799,1373,0,828
0.03,0.9,0.856125,0.4156657963446475,0.961352657004831,0.5803864382063434,6053,1119,32,796
0.03,0.95,0.8965,0.0,0.0,0.0,7172,0,828,0
0.05,0.5,0.65725,0.2319327731092437,1.0,0.3765347885402456,4430,2742,0,828
0.05,0.6,0.669,0.238204833141542,1.0,0.3847583643122676,4524,2648,0,828
0.05,0.7,0.67875,0.24367274867569158,1.0,0.391859914813062,4602,2570,0,828
0.05,0.8,0.807875,0.3501057082452431,1.0,0.5186345129971813,5635,1537,0,828
0.05,0.85,0.828375,0.37619263970922306,1.0,0.5467150874876197,5799,1373,0,828
0.05,0.9,0.856125,0.4156657963446475,0.961352657004831,0.5803864382063434,6053,1119,32,796
0.05,0.95,0.8965,0.0,0.0,0.0,7172,0,828,0
0.1,0.5,0.656125,0.23134953897736799,1.0,0.3757658270932608,4421,2751,0,828
0.1,0.6,0.66425,0.23562891291974958,1.0,0.3813910640257946,4486,2686,0,828
0.1,0.7,0.6715,0.23958333333333334,1.0,0.3865546218487395,4544,2628,0,828
0.1,0.8,0.79925,0.3401807723911257,1.0,0.5076640098099325,5566,1606,0,828
0.1,0.85,0.819,0.36379613356766255,1.0,0.5335051546391752,5724,1448,0,828
0.1,0.9,0.845875,0.4017467248908297,1.0,0.573208722741433,5939,1233,0,828
0.1,0.95,0.851125,0.4101040118870728,1.0,0.5816649104320337,5981,1191,0,828
